"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0xc3d6eb525373d54ea401b4e04e0a22fc4f131e79d661b0bfd4eb8633284c7a2f","1607460193","2020-12-08 20:43:13","0x266988c1f5648f7510eecd85162e24cc5a391f14","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,000","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0x510a254acf159657cbe8f94bc36c2696582de2db9df6d79a18143f75169bf949","1607460699","2020-12-08 20:51:39","0x448feb329552c936335d158af387e0186baf8271","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,000","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0xb237c808a857d85d3dc539adbcc39937244f31c8a4308a8d46831638d9f11e3e","1607460823","2020-12-08 20:53:43","0x7f669d1b1c39b134000c1a953647c3b8002b62f6","0x24a45ff6b4302acf2b271535a73c00135f8b2445","750","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0xdd64a0b6a4718a68bd28689eb745257f3a338dabd903361adceb9ac8d024fdbb","1607460851","2020-12-08 20:54:11","0xfc178d88fd824fa0ca5d76aaa68908617ab041f8","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,000","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0x5867e0081c38a6fd572641a031a0ab19f5090cd5eecb0476544981d79e67bb71","1607461177","2020-12-08 20:59:37","0x603de400427109449691363c45acb89f02ebbb21","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,000","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0xaaa999bdf37b09ca86c1e2a8dadb3ead3d6c4085f3b943bd3713ffcc93e00eae","1607461638","2020-12-08 21:07:18","0xe00093beb1b8df5eee4ab15e1a055a69518d5000","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,500","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0x6cf3f32f3e7c1c5584f533565056b3e2a59082f4cec0415c579b0fc00e31b789","1607461674","2020-12-08 21:07:54","0x9d86a7f15c668ad1511b0fab20bc8d7448108ba8","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,000","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0x79b643279cba1b80b493a4d29ce3192823f1aff5d80acd14bff0a08d2fe532c1","1607461973","2020-12-08 21:12:53","0x8454e1ee9a5324a291516b95364a929d723b2308","0x24a45ff6b4302acf2b271535a73c00135f8b2445","6,100","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0xb578a82e75b45cd8ddf4c72bf5fe56e4f2574241bfe5bfb60808355b0d482171","1607462105","2020-12-08 21:15:05","0x0b46ccd7373a9ad4c010d6f69f5fff97a8542ab7","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,000","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
"0xd0b067e79aa39587a64eee366b1964ffa07605e9f4ad803440749ce034504917","1607462250","2020-12-08 21:17:30","0x330cae0ab92e5189d1d461dc58cf10aebd064fcb","0x24a45ff6b4302acf2b271535a73c00135f8b2445","3,000","0xd2dda223b2617cb616c1580db421e4cfae6a8a85","Bondly Token","BONDLY"
